,loss_value
0,356.32
1,364.82
2,372.27
3,375.65
4,378.55
5,377.6
6,376.72
7,374.82
8,371.48
9,367.57
10,361.99
11,354.0
12,348.09
13,341.57
14,336.19
15,330.61
16,325.78
17,321.28
18,318.3
19,316.05
20,312.87
21,311.02
22,308.75
23,307.73
24,305.08
25,302.97
26,302.21
27,300.23
28,297.54
29,296.25
30,295.07
31,293.08
32,291.82
33,290.65
34,289.63
35,287.48
36,286.53
37,285.06
38,283.27
39,282.1
40,281.5
41,280.61
42,279.36
43,277.75
44,276.69
45,274.52
46,273.99
47,273.86
48,272.24
49,271.41
50,270.95
51,269.81
52,268.43
53,268.58
54,266.85
55,265.79
56,265.54
57,264.12
58,263.55
59,263.38
60,261.83
61,261.22
62,260.05
63,260.02
64,259.82
65,258.68
66,257.98
67,257.26
68,255.96
69,256.29
70,256.12
71,255.12
72,255.17
73,254.91
74,254.6
75,253.29
76,254.27
77,251.51
78,251.84
79,252.06
80,250.72
81,250.62
82,250.64
83,249.48
84,249.34
85,247.81
86,247.74
87,247.32
88,248.07
89,246.09
90,246.53
91,245.88
92,246.88
93,244.99
94,244.69
95,244.61
96,244.73
97,244.63
98,243.24
99,243.38
100,241.37
101,243.65
102,242.09
103,242.22
104,242.05
105,242.83
106,240.48
107,240.61
108,239.82
109,240.02
110,239.99
111,239.76
112,240.3
113,238.61
114,238.66
115,237.98
116,239.12
117,240.8
118,237.09
119,237.62
120,238.12
121,236.82
122,236.8
123,236.45
124,236.85
125,234.78
126,234.76
127,235.69
128,235.58
129,234.9
130,234.93
131,234.04
132,233.96
133,233.95
134,233.63
135,232.85
136,234.14
137,233.24
138,232.8
139,232.43
140,232.84
141,232.79
142,232.78
143,232.12
144,231.4
145,230.47
146,231.62
147,231.27
148,231.72
149,229.98
150,229.72
151,230.93
152,230.03
153,228.42
154,228.82
155,229.58
156,228.3
157,227.97
158,229.2
159,228.62
160,227.98
161,228.18
162,227.02
163,227.86
164,226.32
165,227.13
166,226.06
167,227.67
168,226.4
169,224.54
170,227.66
171,225.26
172,224.97
173,225.68
174,225.32
175,225.57
176,226.28
177,224.94
178,224.87
179,224.37
180,224.71
181,223.63
182,224.03
183,223.12
184,223.13
185,222.84
186,222.88
187,223.83
188,222.88
189,221.63
190,222.77
191,223.03
192,221.41
193,221.47
194,222.04
195,222.79
196,220.95
197,220.4
198,220.45
199,220.16
200,221.16
201,220.97
202,220.08
203,219.81
204,220.62
205,219.66
206,219.06
207,219.49
208,220.34
209,219.79
210,218.93
211,218.02
212,217.89
213,218.1
214,218.66
215,218.07
216,218.83
217,218.15
218,218.8
219,216.54
220,217.93
221,216.77
222,217.34
223,216.56
224,217.45
225,215.21
226,216.68
227,216.83
228,214.79
229,215.62
230,215.02
231,215.18
232,214.89
233,214.72
234,214.99
235,215.11
236,214.8
237,215.02
238,213.92
239,214.06
240,214.13
241,213.69
242,214.92
243,213.82
244,212.87
245,211.93
246,212.69
247,212.1
248,213.94
249,213.72
250,212.46
251,211.84
252,212.33
253,211.94
254,212.36
255,211.6
256,211.09
257,212.41
258,211.52
259,210.7
260,211.18
261,210.52
262,210.11
263,209.87
264,211.82
265,211.01
266,209.92
267,210.0
268,209.63
269,209.96
270,209.21
271,209.44
272,208.84
273,208.05
274,210.18
275,208.37
276,209.23
277,209.63
278,206.93
279,208.21
280,208.51
281,207.4
282,207.18
283,207.4
284,208.08
285,207.64
286,206.73
287,207.43
288,206.54
289,205.81
290,206.48
291,207.09
292,205.96
293,206.06
294,206.6
295,207.13
296,205.41
297,205.61
298,206.24
299,206.59
300,205.66
301,204.55
302,204.93
303,204.96
304,204.87
305,204.52
306,204.01
307,204.89
308,204.26
309,204.36
310,204.53
311,204.14
312,203.36
313,204.46
314,202.01
315,203.11
316,203.0
317,202.25
318,203.22
319,203.89
320,201.58
321,202.22
322,203.98
323,203.15
324,201.81
325,202.27
326,202.43
327,201.35
328,201.77
329,202.18
330,202.32
331,202.56
332,201.19
333,200.17
334,200.12
335,201.73
336,200.78
337,201.28
338,201.1
339,202.2
340,200.56
341,199.27
342,200.17
343,200.19
344,199.52
345,199.0
346,198.14
347,200.07
348,198.16
349,199.61
350,199.18
351,199.54
352,198.79
353,198.36
354,198.87
355,199.26
356,198.4
357,198.61
358,198.68
359,197.58
360,198.05
361,197.53
362,198.38
363,197.27
364,197.8
365,198.36
366,198.3
367,196.7
368,198.39
369,197.13
370,196.92
371,196.94
372,197.07
373,195.25
374,196.59
375,196.05
376,196.42
377,194.68
378,196.1
379,196.83
380,195.55
381,196.61
382,195.15
383,195.25
384,194.95
385,194.67
386,195.1
387,194.69
388,193.99
389,194.76
390,194.68
391,194.96
392,195.15
393,194.67
394,194.45
395,194.59
396,193.4
397,193.34
398,194.53
399,193.17
400,193.39
401,192.83
402,194.16
403,193.93
404,192.53
405,192.89
406,192.88
407,191.49
408,193.07
409,193.16
410,192.45
411,192.81
412,193.41
413,191.66
414,191.7
415,191.31
416,191.82
417,191.86
418,192.46
419,191.2
420,190.93
421,190.62
422,190.49
423,190.65
424,191.28
425,190.64
426,189.95
427,189.89
428,190.62
429,190.54
430,190.04
431,189.67
432,190.66
433,189.57
434,189.53
435,190.67
436,188.76
437,190.53
438,190.49
439,188.65
440,188.39
441,190.26
442,188.08
443,189.47
444,188.29
445,187.86
446,187.97
447,189.89
448,188.63
449,188.32
450,188.56
451,188.86
452,187.41
453,188.3
454,187.95
455,188.33
456,186.99
457,187.02
458,187.55
459,187.43
460,187.99
461,188.2
462,186.44
463,186.57
464,187.3
465,188.03
466,187.72
467,187.75
468,186.24
469,186.35
470,186.89
471,184.5
472,186.79
473,185.34
474,187.05
475,185.97
476,186.89
477,185.12
478,185.77
479,185.97
480,185.34
481,185.61
482,185.44
483,185.62
484,184.73
485,185.42
486,184.78
487,185.05
488,185.76
489,185.26
490,185.48
491,183.53
492,184.23
493,183.96
494,184.69
495,184.93
496,184.33
497,183.74
498,183.58
499,185.09
500,183.33
501,184.19
502,183.66
503,183.96
504,184.99
505,183.13
506,183.34
507,183.2
508,183.58
509,182.05
510,182.61
511,183.15
512,182.15
513,182.95
514,182.13
515,182.82
516,181.79
517,183.57
518,182.5
519,181.98
520,182.13
521,182.04
522,181.46
523,181.41
524,181.88
525,181.91
526,182.05
527,181.05
528,180.78
529,181.42
530,181.43
531,181.89
532,179.7
533,181.14
534,181.53
535,179.96
536,180.58
537,182.33
538,181.89
539,180.94
540,179.99
541,179.25
542,177.6
543,180.96
544,180.11
545,180.98
546,179.81
547,178.97
548,179.84
549,179.18
550,178.61
551,178.86
552,178.54
553,178.11
554,178.66
555,179.0
556,179.03
557,180.06
558,178.63
559,178.65
560,178.14
561,178.99
562,178.6
563,177.64
564,178.51
565,178.05
566,177.9
567,177.56
568,177.66
569,177.9
570,177.57
571,177.0
572,177.57
573,178.25
574,177.33
575,177.93
576,176.88
577,176.9
578,176.68
579,177.74
580,176.88
581,176.38
582,177.35
583,177.41
584,175.98
585,175.74
586,176.6
587,177.0
588,176.3
589,174.52
590,175.42
591,176.08
592,175.15
593,175.78
594,175.34
595,175.73
596,175.53
597,176.73
598,176.64
599,176.01
600,176.54
601,174.44
602,176.05
603,175.31
604,175.05
605,175.62
606,174.47
607,174.53
608,174.42
609,174.98
610,175.25
611,174.05
612,174.28
613,173.35
614,174.53
615,173.72
616,172.9
617,174.04
618,174.06
619,173.25
620,174.59
621,173.19
622,174.28
623,173.97
624,172.32
625,173.02
626,174.0
627,172.86
628,172.53
629,173.42
630,172.49
631,172.22
632,171.77
633,171.31
634,173.09
635,173.18
636,172.75
637,172.87
638,172.88
639,172.59
640,172.11
641,172.19
642,171.22
643,171.72
644,172.73
645,172.77
646,171.32
647,171.82
648,171.48
649,172.15
650,171.41
651,170.93
652,171.76
653,172.33
654,170.79
655,170.41
656,170.59
657,171.43
658,170.72
659,171.23
660,170.86
661,170.99
662,170.19
663,171.45
664,170.79
665,170.36
666,170.45
667,171.42
668,169.02
669,169.26
670,170.92
671,169.64
