,loss_value,acc,auc_validation,auc_test
0,0.69,0.4967,0.4987,
1,0.69,0.5012,0.498,
2,0.69,0.5002,0.4979,
3,0.6908,0.5014,0.4979,
4,0.6912,0.4949,0.498,
5,0.6912,0.496,0.4982,
6,0.6898,0.5035,0.4985,
7,0.6898,0.4958,0.4987,
8,0.6908,0.5076,0.4996,
9,0.6913,0.5004,0.5002,
10,0.6913,0.5058,0.5009,
11,0.6938,0.5095,0.5017,
12,0.696,0.5086,0.5033,
13,0.6944,0.5124,0.5043,
14,0.6971,0.5141,0.5053,
15,0.6981,0.5196,0.5065,
16,0.7004,0.5197,0.5075,
17,0.6987,0.5237,0.5081,
18,0.7058,0.5263,0.5098,
19,0.7063,0.5287,0.5101,
20,0.7052,0.529,0.5112,
21,0.7077,0.5309,0.5113,
22,0.7104,0.53,0.5122,
23,0.7079,0.5376,0.5131,
24,0.7123,0.5339,0.5138,
25,0.7106,0.541,0.5141,
26,0.7137,0.5409,0.5151,
27,0.7135,0.5418,0.5156,
28,0.7162,0.5377,0.516,
29,0.7208,0.5403,0.5167,
30,0.7175,0.5439,0.5179,
31,0.7156,0.5492,0.518,
32,0.7179,0.5452,0.5185,
33,0.7179,0.5456,0.5184,
34,0.7169,0.5522,0.519,
35,0.714,0.5543,0.5194,
36,0.7221,0.55,0.52,
37,0.7219,0.5527,0.5204,
38,0.7262,0.5553,0.5208,
39,0.7215,0.5537,0.5207,
40,0.7212,0.5558,0.521,
41,0.7273,0.5545,0.5209,
42,0.7225,0.553,0.5217,
43,0.7292,0.5551,0.5217,
44,0.7223,0.5609,0.5225,
45,0.7225,0.559,0.5225,
46,0.7275,0.5587,0.5224,
47,0.721,0.5635,0.5231,
48,0.7244,0.5621,0.5234,
49,0.7313,0.5609,0.524,
50,0.7252,0.5584,0.5245,
51,0.7277,0.5633,0.5251,
52,0.726,0.5656,0.526,
53,0.7308,0.5611,0.5262,
54,0.7325,0.5637,0.526,
55,0.7308,0.5639,0.5267,
56,0.7219,0.5668,0.5274,
57,0.7327,0.562,0.5273,
58,0.7252,0.5665,0.528,
59,0.7315,0.5699,0.5283,
60,0.7327,0.5653,0.5288,
61,0.7333,0.5681,0.5291,
62,0.7237,0.5729,0.5296,
63,0.7331,0.5708,0.5302,
64,0.7298,0.5686,0.5302,
65,0.7294,0.5736,0.5305,
66,0.7302,0.5763,0.5314,
67,0.7298,0.5724,0.5323,
68,0.7287,0.5784,0.5328,
69,0.7277,0.5742,0.5332,
70,0.7296,0.5762,0.5341,
71,0.7321,0.5724,0.5346,
72,0.726,0.5777,0.5353,
73,0.7296,0.5787,0.5359,
74,0.7308,0.5759,0.5367,
75,0.7233,0.5808,0.5371,
76,0.7252,0.5825,0.538,
77,0.726,0.5826,0.5388,
78,0.7277,0.5787,0.5396,
79,0.7254,0.5867,0.5401,
80,0.7217,0.5881,0.5407,
81,0.7206,0.5849,0.5414,
82,0.7344,0.5844,0.542,
83,0.7215,0.5929,0.5428,
84,0.7273,0.593,0.5435,
85,0.724,0.5948,0.5442,
86,0.7325,0.5911,0.5449,
87,0.7265,0.5878,0.5457,
88,0.7279,0.5888,0.5466,
89,0.7158,0.5972,0.5473,
90,0.7198,0.5938,0.5482,
91,0.7175,0.5994,0.5491,
92,0.7175,0.5988,0.5498,
93,0.7123,0.6002,0.5507,
94,0.7173,0.6008,0.5515,
95,0.7146,0.6068,0.5524,
