,loss_value,acc,auc_validation,auc_test
0,0.6932,0.5019,0.5248,
1,0.6842,0.5813,,
2,0.638,0.6453,,
3,0.5981,0.678,,
4,0.5607,0.711,,
5,0.5145,0.7416,,
6,0.4883,0.761,,
7,0.4503,0.7833,,
8,0.4262,0.8018,,
9,0.4015,0.8195,,
10,0.3786,0.8299,,
11,0.3483,0.8486,,
12,0.3387,0.8523,0.6299,
13,0.3152,0.8647,,
14,0.3074,0.8687,0.6296,
15,0.2918,0.8745,0.6335,
16,0.2835,0.8807,0.6379,
17,0.2723,0.8847,0.6381,
18,0.2564,0.8942,,
19,0.2453,0.8965,0.6404,
20,0.2419,0.9004,0.6438,
21,0.2267,0.9074,0.643,
22,0.2228,0.9098,0.6425,
23,0.2208,0.9127,0.6422,
24,0.2089,0.9151,0.6406,
25,0.1952,0.9217,0.6453,
26,0.1977,0.9232,0.6467,
27,0.1845,0.9257,0.646,
28,0.1818,0.9279,0.6471,
29,0.1784,0.9284,0.6489,
30,0.177,0.9307,0.648,
31,0.1649,0.9374,0.6465,
32,0.162,0.9353,0.649,
33,0.1596,0.9382,0.6476,
34,0.151,0.941,0.6511,
35,0.1465,0.9429,0.6501,
36,0.1488,0.9423,0.6496,
37,0.1397,0.9472,0.652,
38,0.1358,0.9484,0.6532,
39,0.1308,0.9486,0.6516,
40,0.1338,0.949,0.6543,
41,0.1232,0.952,0.6516,
42,0.1251,0.9524,0.6522,
43,0.1193,0.9542,0.6516,
44,0.1192,0.9542,0.653,
45,0.1174,0.9555,0.6494,
46,0.1199,0.9539,0.6534,0.6536
