,loss_value,acc,auc_validation,auc_test
0,0.6931,0.4962,0.5353,
1,0.6907,0.6533,,
2,0.6802,0.7113,,
3,0.6382,0.6885,0.6011,
4,0.5928,0.7039,0.6153,
5,0.5532,0.7323,,
6,0.5186,0.7578,,
7,0.4904,0.775,,
8,0.4597,0.7985,,
9,0.4378,0.8153,,
10,0.4064,0.8339,,
11,0.3865,0.8434,,
12,0.3592,0.8581,,
13,0.3451,0.8662,0.6798,
14,0.3244,0.8763,,
15,0.3088,0.888,,
16,0.2974,0.8948,0.6877,
17,0.2831,0.8994,0.6923,
18,0.2679,0.9092,,
19,0.2576,0.9108,0.6963,
20,0.2488,0.9174,0.6972,
21,0.2367,0.9226,0.6987,
22,0.2287,0.9257,0.7025,
23,0.2203,0.9285,0.704,
24,0.2107,0.9349,0.706,
25,0.2024,0.9376,0.7068,
26,0.1954,0.941,0.7087,
27,0.189,0.9443,0.7093,
28,0.1867,0.9438,0.7116,
29,0.1729,0.9511,0.7133,
30,0.169,0.9518,0.714,
31,0.1637,0.9558,0.7141,
32,0.1591,0.956,0.7161,
33,0.1543,0.9586,0.7177,
34,0.1476,0.9619,0.7167,
35,0.1442,0.9621,0.7181,
36,0.1394,0.9646,0.7181,
37,0.1348,0.9667,0.7198,
38,0.1332,0.9671,0.7209,
39,0.1321,0.9659,0.7205,
40,0.1257,0.9699,0.7213,
41,0.1233,0.9706,0.7228,
42,0.1174,0.9722,0.7218,
43,0.1178,0.9707,0.7231,
44,0.1165,0.9724,0.7228,
45,0.1116,0.9754,0.7244,
46,0.1092,0.9743,0.7255,
47,0.1089,0.9757,0.7253,
48,0.1014,0.9776,0.7251,
49,0.1015,0.978,0.7259,
50,0.099,0.9786,0.7255,
51,0.0974,0.9792,0.7274,
52,0.096,0.9802,0.7261,
53,0.0934,0.9797,0.7283,
54,0.091,0.9817,0.7277,
55,0.0904,0.9813,0.7286,
56,0.0872,0.9822,0.7289,
57,0.0858,0.9834,0.7294,
58,0.0841,0.9842,0.7285,
59,0.0836,0.9832,0.7302,
60,0.0814,0.9844,0.7306,
61,0.0815,0.9837,0.73,
62,0.0783,0.9854,0.7314,
63,0.0777,0.9843,0.732,
64,0.0752,0.9859,0.7307,
65,0.0736,0.9866,0.7322,
66,0.0728,0.9867,0.7321,
67,0.0726,0.9856,0.7323,
68,0.0724,0.9872,0.732,
69,0.0712,0.9861,0.7339,
70,0.0695,0.9881,0.7336,
71,0.0656,0.9887,0.7343,
72,0.0663,0.9888,0.7345,
73,0.065,0.9886,0.7347,
74,0.0656,0.9895,0.7335,
75,0.0624,0.9901,0.7341,
76,0.061,0.9904,0.7352,
77,0.0613,0.9893,0.7339,
78,0.0597,0.9909,0.7336,
79,0.0608,0.9903,0.735,0.7365
