,loss_value,acc,auc_validation,auc_test
0,0.6931,0.4996,0.54,
1,0.6906,0.6531,,
2,0.6805,0.715,,
3,0.6397,0.6957,0.6031,
4,0.5884,0.7137,0.6131,
5,0.5529,0.734,,
6,0.5118,0.7629,,
7,0.4837,0.7832,,
8,0.4486,0.8044,,
9,0.4277,0.8201,,
10,0.4088,0.8284,,
11,0.3828,0.8448,,
12,0.3665,0.8547,,
13,0.3467,0.8652,,
14,0.3283,0.8764,,
15,0.3079,0.8876,,
16,0.2959,0.8937,0.6848,
17,0.2828,0.8996,0.6874,
18,0.2737,0.9019,0.6899,
19,0.2596,0.9103,0.6922,
20,0.2446,0.9181,0.6948,
21,0.236,0.9247,0.696,
22,0.2298,0.9255,0.6987,
23,0.2163,0.9307,0.7007,
24,0.2096,0.935,0.7004,
25,0.2028,0.9371,0.7021,
26,0.195,0.9411,0.7025,
27,0.189,0.9431,0.7057,
28,0.1817,0.9469,0.7067,
29,0.1819,0.9462,0.7085,
30,0.1695,0.9533,0.7101,
31,0.1606,0.9555,0.7093,
32,0.1604,0.9582,0.7113,
33,0.1554,0.9576,0.7128,
34,0.1476,0.9602,0.7125,
35,0.1422,0.9636,0.7133,
36,0.1411,0.9639,0.7131,
37,0.1358,0.9651,0.7144,
38,0.1333,0.9676,0.7153,
39,0.1288,0.9681,0.7175,
40,0.1254,0.9691,0.7154,
41,0.1208,0.9703,0.7177,
42,0.1217,0.9698,0.7189,
43,0.1167,0.9729,0.7188,
44,0.1136,0.9743,0.72,
45,0.1118,0.9747,0.7198,
46,0.1084,0.9756,0.721,
47,0.1039,0.9757,0.7214,
48,0.1035,0.9779,0.7228,
49,0.1005,0.9784,0.7231,
50,0.0971,0.9799,0.7227,
51,0.0972,0.9784,0.7233,
52,0.0971,0.9789,0.7217,
53,0.0922,0.9812,0.7234,
54,0.0921,0.9815,0.7244,
55,0.0882,0.982,0.7246,
56,0.0885,0.9822,0.7251,
57,0.0857,0.9837,0.7248,
58,0.084,0.9828,0.7262,
59,0.0828,0.9831,0.7262,
60,0.0811,0.9843,0.7257,
61,0.0796,0.9842,0.728,
62,0.0768,0.9863,0.7281,
63,0.0772,0.9848,0.7274,
64,0.0754,0.9858,0.7281,
65,0.0733,0.988,0.7285,
66,0.0738,0.9855,0.7284,
67,0.071,0.9875,0.7285,
68,0.0682,0.9889,0.7291,
69,0.069,0.9875,0.7294,
70,0.0708,0.9868,0.7285,
71,0.0661,0.9886,0.7293,
