,loss_value,acc,auc_validation,auc_test
0,0.6933,0.5008,0.5092,
1,0.8535,0.5223,0.5152,
2,0.7626,0.549,0.5294,
3,0.7231,0.5551,0.5389,
4,0.7165,0.5549,0.5545,
5,0.6965,0.584,0.5795,
6,0.668,0.6131,0.608,
7,0.6214,0.6607,0.6252,
8,0.6047,0.6802,0.6342,
9,0.5875,0.6983,0.6427,
10,0.5664,0.7155,0.6488,
11,0.5428,0.7296,0.6543,
12,0.5283,0.7432,0.6596,
13,0.5083,0.7549,0.6607,
14,0.4938,0.7647,0.6648,
15,0.4739,0.7761,0.6667,
16,0.4622,0.7814,0.6689,
17,0.4517,0.7897,0.6741,
18,0.4399,0.7945,0.6751,
19,0.4265,0.807,0.6779,
20,0.4182,0.8104,0.6808,
21,0.4009,0.8144,0.683,
22,0.3849,0.8274,0.6861,
23,0.3752,0.8305,0.6856,
24,0.3689,0.8389,0.6879,
25,0.3421,0.8463,0.691,
26,0.339,0.8488,0.6903,
27,0.3334,0.8541,0.6898,
28,0.3227,0.8597,0.6912,
29,0.3163,0.8624,0.6872,
30,0.3104,0.8646,0.6911,
31,0.2999,0.8728,0.6902,
32,0.2971,0.8737,0.6914,
33,0.2908,0.8766,0.6932,
34,0.2755,0.8818,0.6942,
35,0.2717,0.8869,0.6928,
36,0.2718,0.8837,0.6919,
37,0.2724,0.8891,0.6913,
38,0.251,0.8927,0.6927,
39,0.267,0.8881,0.6919,
40,0.2561,0.8939,0.6887,
41,0.2481,0.8964,0.6904,
42,0.2487,0.8976,0.6905,
43,0.2466,0.9006,0.6876,
44,0.2415,0.8983,0.6925,
45,0.2392,0.902,0.6904,
46,0.2315,0.9043,0.6877,
47,0.2292,0.9072,0.6906,
48,0.2387,0.9044,0.6847,
49,0.2311,0.9061,0.6855,
50,0.2227,0.9075,0.6841,
51,0.2297,0.9085,0.6851,
52,0.2186,0.9103,0.686,
53,0.2161,0.9141,0.6876,
54,0.2265,0.911,0.6833,0.6806
