,loss_value,acc,auc_validation,auc_test
0,0.6934,0.4967,0.5133,
1,0.694,0.5365,,
2,0.6877,0.5458,,
3,0.6842,0.5659,,
4,0.6714,0.5781,,
5,0.6582,0.5993,,
6,0.6489,0.6121,,
7,0.636,0.6299,,
8,0.6217,0.6422,,
9,0.6156,0.6533,,
10,0.6022,0.6639,,
11,0.5971,0.6704,0.585,
12,0.5865,0.6741,0.5852,
13,0.5802,0.6821,,
14,0.5681,0.6968,,
15,0.5644,0.695,0.5951,
16,0.5546,0.709,,
17,0.5454,0.7079,0.5979,
18,0.5441,0.7104,0.6008,
19,0.5402,0.7167,0.6001,
20,0.5331,0.7209,0.606,
21,0.5212,0.7317,,
22,0.5159,0.7357,0.6078,
23,0.5082,0.7405,0.6091,
24,0.4986,0.7458,0.6054,
25,0.509,0.7433,0.6037,
26,0.5172,0.7394,0.6098,
27,0.4761,0.7602,,
28,0.4809,0.7639,0.6151,
29,0.4746,0.7683,0.6171,
30,0.4583,0.7729,0.6169,
31,0.4616,0.7717,0.6187,
32,0.4548,0.775,0.6173,
33,0.4692,0.7721,0.6202,
34,0.4529,0.7782,0.6208,
35,0.4416,0.787,,
36,0.4434,0.7804,0.6173,
37,0.4456,0.7839,0.612,
38,0.4483,0.7871,0.6196,
39,0.4274,0.7946,0.6214,
40,0.4256,0.7861,0.6231,
41,0.4297,0.7926,0.6245,
42,0.4185,0.7973,0.6252,
43,0.4227,0.7996,0.6245,
44,0.4191,0.7964,0.6236,
45,0.418,0.7991,0.6245,
46,0.4121,0.7978,0.6269,
47,0.4108,0.8032,0.6233,
48,0.4103,0.7975,0.6229,
49,0.412,0.7989,0.6236,
50,0.4206,0.8013,0.6127,
51,0.4788,0.7631,0.6122,
52,0.4311,0.7898,0.6137,
53,0.4471,0.7834,0.6211,
54,0.4067,0.8012,0.6233,
55,0.4107,0.7994,0.613,
56,0.4292,0.7951,0.6206,0.6201
