,loss_value,acc,auc_validation,auc_test
0,0.6932,0.4993,0.5272,
1,0.6901,0.6413,,
2,0.6757,0.6939,,
3,0.6406,0.6733,0.586,
4,0.5987,0.7012,,
5,0.5603,0.7286,,
6,0.5271,0.7564,,
7,0.492,0.7825,,
8,0.4633,0.8014,,
9,0.4274,0.82,,
10,0.4088,0.8358,,
11,0.3856,0.8507,,
12,0.3619,0.8619,,
13,0.3345,0.8764,,
14,0.3231,0.8868,,
15,0.3014,0.894,0.6726,
16,0.2868,0.903,,
17,0.2678,0.913,,
18,0.2573,0.9152,0.6767,
19,0.24,0.9222,0.6779,
20,0.2299,0.9308,0.6794,
21,0.2175,0.933,0.6814,
22,0.2072,0.9385,0.6816,
23,0.1967,0.9408,0.6826,
24,0.1885,0.9458,0.6839,
25,0.1849,0.948,0.6841,
26,0.18,0.9495,0.6859,
27,0.1695,0.9541,0.6856,
28,0.1604,0.9555,0.6869,
29,0.1509,0.9599,0.6877,
30,0.1479,0.9588,0.6883,
31,0.1387,0.9632,0.6872,
32,0.1392,0.9654,0.688,
33,0.1335,0.9641,0.6886,
34,0.1297,0.9659,0.6889,
35,0.1237,0.968,0.6892,
36,0.1215,0.9689,0.6895,
37,0.1248,0.9689,0.6892,
38,0.1133,0.9745,0.6901,
39,0.1133,0.9729,0.6893,
40,0.1062,0.9753,0.6917,
41,0.1039,0.976,0.6915,
42,0.1053,0.9765,0.6905,
43,0.0977,0.9767,0.6919,
44,0.0996,0.9777,0.6923,
45,0.0966,0.9782,0.6916,
46,0.0937,0.9796,0.6917,
47,0.0905,0.981,0.6927,
48,0.0846,0.9829,0.6933,
49,0.0872,0.9806,0.692,
50,0.0868,0.9813,0.6931,
51,0.0809,0.9825,0.6923,0.6915
