,loss_value,acc,auc_validation,auc_test
0,0.6932,0.501,0.5262,
1,0.6704,0.5966,,
2,0.6157,0.664,,
3,0.577,0.6985,,
4,0.5321,0.7293,,
5,0.4995,0.7598,,
6,0.4577,0.7828,,
7,0.4344,0.7991,,
8,0.409,0.8146,,
9,0.3762,0.8342,,
10,0.3608,0.839,0.6167,
11,0.3441,0.851,,
12,0.3203,0.8599,,
13,0.3102,0.8644,0.6207,
14,0.2945,0.8743,,
15,0.2812,0.8803,0.6231,
16,0.2691,0.8868,0.6285,
17,0.2637,0.8925,0.6255,
18,0.2388,0.8995,0.6295,
19,0.2389,0.9001,0.6236,
20,0.2217,0.9095,,
21,0.2193,0.9119,0.6283,
22,0.2096,0.9147,0.6315,
23,0.2003,0.9216,0.6295,
24,0.2005,0.9195,0.6337,
25,0.1929,0.9204,0.6301,
26,0.1901,0.9242,0.6312,
27,0.1796,0.9269,0.6298,
28,0.1773,0.9304,0.6325,
29,0.1736,0.9319,0.6349,
30,0.1732,0.9356,0.6368,
31,0.1641,0.9349,0.6342,
32,0.1593,0.9376,0.634,
33,0.1538,0.9417,0.6365,
34,0.1535,0.9416,0.638,
35,0.149,0.9439,0.6384,
36,0.1434,0.945,0.6378,
37,0.1424,0.946,0.6315,
38,0.1396,0.9459,0.6374,
39,0.1402,0.9461,0.6365,
40,0.1263,0.9516,0.6373,
