,item_rank,item_index,reward
0,86,869,-76
1,870,869,677
2,1989,869,-1119
3,22772,869,-20783
4,13495,869,9277
5,27830,869,-14335
6,31057,869,-3227
7,29822,869,1235
8,27272,869,9217
9,24374,869,2898
10,18935,869,5439
11,13,869,-2
12,11,683,-10
13,11,683,1
14,11,683,17
15,2,683,9
16,11,683,-9
17,125,683,-114
18,6,683,119
19,30,683,-24
20,38,683,-8
21,22,683,16
22,14,683,8
23,116,683,-102
24,178,683,-62
25,121,683,57
26,57,683,64
27,47,683,10
28,289,683,-222
29,5204,683,-4915
30,14131,683,-8927
31,4600,683,9531
32,1282,683,3318
33,7298,683,-6016
34,20401,683,-13844
35,20811,683,-410
36,26319,683,-5508
37,25140,173,21332
38,23762,173,16428
39,17405,173,6357
40,28839,173,-11434
41,25755,173,3084
42,10493,173,15262
43,22686,173,13792
44,26570,173,-3884
45,14106,173,12464
46,8623,173,5483
47,8139,173,484
48,473,173,7666
49,0,173,1000
50,30979,869,-2650
51,10970,869,20009
52,15762,869,-4792
53,8452,869,7310
54,21929,869,-13477
55,32918,869,7133
56,34251,869,-1333
57,149,879,-138
58,116,879,33
59,11,879,105
60,1,879,10
61,1,879,1
62,0,578,1000
63,17550,220,22462
64,26003,220,-8453
65,27467,220,8862
66,32160,220,-4693
67,25474,869,6686
68,659,220,-31
69,28,220,2963
70,30,220,-2
71,3,220,27
72,0,220,1000
73,28484,869,9760
74,25294,869,3190
75,19926,869,5368
76,15193,869,4733
77,17167,869,-1974
78,6903,869,10264
79,11514,869,-4611
80,2042,869,9472
81,2859,869,-817
82,62,869,2797
83,7,869,55
84,2,869,5
85,0,869,1000
86,24631,869,8796
87,33447,869,-5172
88,25553,869,7894
89,16545,869,-8556
90,4490,869,326
91,0,182,1000
92,1484,869,2135
93,839,869,645
94,5406,869,-4567
95,9425,869,-4019
96,19422,869,-14643
97,16084,869,3338
98,7540,869,8544
99,26293,869,-18753
100,23316,869,11934
101,21038,869,2278
102,28641,869,-7603
103,30077,869,-1436
104,27256,869,2821
105,26425,869,831
106,7946,869,18479
107,28074,869,-20128
108,31994,869,-3920
109,28343,869,3651
110,30153,869,10339
111,24740,869,10783
112,29713,869,14779
113,12435,869,17278
114,16379,869,-3944
115,17168,869,-789
